id,name,description
fig1,Fig. 1.,Map of the sample languages before epoch 1 (800 AD)
fig2,Fig. 2.,Map of the sample languages before epoch 2 (1200 AD)
fig3,Fig. 3.,Map of the sample languages after epoch 2 (1900 AD)
